sentence1,sentence2,answer
"Sarawakian immigration officers charged with graft KUCHING, April 10 — Six immigration officers were charged here today with receiving bribes of between RM100 and RM1,000 to allegedly allow undocumented foreign workers into the state. They pleaded not guilty before Sessions Court Judge Nixion Kennedy Kumbong, who then fixed April 28 for pre-trial management. The accused were said to have received the cash between late last year and early this year. The Malaysian Anti-Corruption Commission (MACC) charged them separately under Section 165 of the Penal Code which carries a maximum imprisonment of two years, or a fine, or both upon conviction. The six — assistant enforcement officer Khairul Nizam Omar, 41, Immigration officers Norhaliza Hussein, 34, Emily Ngayan anak Beliang, 36, Benjamin Morsit, 34, Gracy Bohan, 35, and Agnes James Daim, 42 — were accused of accepting the cash from Fazal Illahi Juma Gul. MACC prosecuting officer Katherine Nais asked the court to release each of the six on RM10,000 cash with two sureties, but Roger Chin, defence counsel for Agnes and Emily, strongly objected to the cash bail. “There is no reason to impose the cash bail at all because there is no evidence to show that they will not attend the trial later,” he said, adding that both Agnes and Emily are still working with the Immigration Department. He said when MACC called them last Friday to go to the court to face the charges, they came voluntarily before 9am today. The court also fixed bail for Norhaliza at RM6,000, Benjamin at RM5,000, Khairul Nizam at RM5,000 and Gracy at RM7,000.",What is the role/title/job of someone?,assistant enforcement officer
"Sarawakian immigration officers charged with graft KUCHING, April 10 — Six immigration officers were charged here today with receiving bribes of between RM100 and RM1,000 to allegedly allow undocumented foreign workers into the state. They pleaded not guilty before Sessions Court Judge Nixion Kennedy Kumbong, who then fixed April 28 for pre-trial management. The accused were said to have received the cash between late last year and early this year. The Malaysian Anti-Corruption Commission (MACC) charged them separately under Section 165 of the Penal Code which carries a maximum imprisonment of two years, or a fine, or both upon conviction. The six — assistant enforcement officer Khairul Nizam Omar, 41, Immigration officers Norhaliza Hussein, 34, Emily Ngayan anak Beliang, 36, Benjamin Morsit, 34, Gracy Bohan, 35, and Agnes James Daim, 42 — were accused of accepting the cash from Fazal Illahi Juma Gul. MACC prosecuting officer Katherine Nais asked the court to release each of the six on RM10,000 cash with two sureties, but Roger Chin, defence counsel for Agnes and Emily, strongly objected to the cash bail. “There is no reason to impose the cash bail at all because there is no evidence to show that they will not attend the trial later,” he said, adding that both Agnes and Emily are still working with the Immigration Department. He said when MACC called them last Friday to go to the court to face the charges, they came voluntarily before 9am today. The court also fixed bail for Norhaliza at RM6,000, Benjamin at RM5,000, Khairul Nizam at RM5,000 and Gracy at RM7,000.",What is the investigation/trial/sentence that has taken place?,charges|pleaded|fixed|charged|bail|trial|charged|bail|fixed|face the charges|charged|trial|release|bail|accused
"Sarawakian immigration officers charged with graft KUCHING, April 10 — Six immigration officers were charged here today with receiving bribes of between RM100 and RM1,000 to allegedly allow undocumented foreign workers into the state. They pleaded not guilty before Sessions Court Judge Nixion Kennedy Kumbong, who then fixed April 28 for pre-trial management. The accused were said to have received the cash between late last year and early this year. The Malaysian Anti-Corruption Commission (MACC) charged them separately under Section 165 of the Penal Code which carries a maximum imprisonment of two years, or a fine, or both upon conviction. The six — assistant enforcement officer Khairul Nizam Omar, 41, Immigration officers Norhaliza Hussein, 34, Emily Ngayan anak Beliang, 36, Benjamin Morsit, 34, Gracy Bohan, 35, and Agnes James Daim, 42 — were accused of accepting the cash from Fazal Illahi Juma Gul. MACC prosecuting officer Katherine Nais asked the court to release each of the six on RM10,000 cash with two sureties, but Roger Chin, defence counsel for Agnes and Emily, strongly objected to the cash bail. “There is no reason to impose the cash bail at all because there is no evidence to show that they will not attend the trial later,” he said, adding that both Agnes and Emily are still working with the Immigration Department. He said when MACC called them last Friday to go to the court to face the charges, they came voluntarily before 9am today. The court also fixed bail for Norhaliza at RM6,000, Benjamin at RM5,000, Khairul Nizam at RM5,000 and Gracy at RM7,000.",Who is accused of a corruption?,Khairul Nizam|assistant enforcement officer Khairul Nizam Omar
"Sarawakian immigration officers charged with graft KUCHING, April 10 — Six immigration officers were charged here today with receiving bribes of between RM100 and RM1,000 to allegedly allow undocumented foreign workers into the state. They pleaded not guilty before Sessions Court Judge Nixion Kennedy Kumbong, who then fixed April 28 for pre-trial management. The accused were said to have received the cash between late last year and early this year. The Malaysian Anti-Corruption Commission (MACC) charged them separately under Section 165 of the Penal Code which carries a maximum imprisonment of two years, or a fine, or both upon conviction. The six — assistant enforcement officer Khairul Nizam Omar, 41, Immigration officers Norhaliza Hussein, 34, Emily Ngayan anak Beliang, 36, Benjamin Morsit, 34, Gracy Bohan, 35, and Agnes James Daim, 42 — were accused of accepting the cash from Fazal Illahi Juma Gul. MACC prosecuting officer Katherine Nais asked the court to release each of the six on RM10,000 cash with two sureties, but Roger Chin, defence counsel for Agnes and Emily, strongly objected to the cash bail. “There is no reason to impose the cash bail at all because there is no evidence to show that they will not attend the trial later,” he said, adding that both Agnes and Emily are still working with the Immigration Department. He said when MACC called them last Friday to go to the court to face the charges, they came voluntarily before 9am today. The court also fixed bail for Norhaliza at RM6,000, Benjamin at RM5,000, Khairul Nizam at RM5,000 and Gracy at RM7,000.",How many are accused of a corruption?,no-answer
"Sarawakian immigration officers charged with graft KUCHING, April 10 — Six immigration officers were charged here today with receiving bribes of between RM100 and RM1,000 to allegedly allow undocumented foreign workers into the state. They pleaded not guilty before Sessions Court Judge Nixion Kennedy Kumbong, who then fixed April 28 for pre-trial management. The accused were said to have received the cash between late last year and early this year. The Malaysian Anti-Corruption Commission (MACC) charged them separately under Section 165 of the Penal Code which carries a maximum imprisonment of two years, or a fine, or both upon conviction. The six — assistant enforcement officer Khairul Nizam Omar, 41, Immigration officers Norhaliza Hussein, 34, Emily Ngayan anak Beliang, 36, Benjamin Morsit, 34, Gracy Bohan, 35, and Agnes James Daim, 42 — were accused of accepting the cash from Fazal Illahi Juma Gul. MACC prosecuting officer Katherine Nais asked the court to release each of the six on RM10,000 cash with two sureties, but Roger Chin, defence counsel for Agnes and Emily, strongly objected to the cash bail. “There is no reason to impose the cash bail at all because there is no evidence to show that they will not attend the trial later,” he said, adding that both Agnes and Emily are still working with the Immigration Department. He said when MACC called them last Friday to go to the court to face the charges, they came voluntarily before 9am today. The court also fixed bail for Norhaliza at RM6,000, Benjamin at RM5,000, Khairul Nizam at RM5,000 and Gracy at RM7,000.",Where a corruption has taken place?,no-answer
"Sarawakian immigration officers charged with graft KUCHING, April 10 — Six immigration officers were charged here today with receiving bribes of between RM100 and RM1,000 to allegedly allow undocumented foreign workers into the state. They pleaded not guilty before Sessions Court Judge Nixion Kennedy Kumbong, who then fixed April 28 for pre-trial management. The accused were said to have received the cash between late last year and early this year. The Malaysian Anti-Corruption Commission (MACC) charged them separately under Section 165 of the Penal Code which carries a maximum imprisonment of two years, or a fine, or both upon conviction. The six — assistant enforcement officer Khairul Nizam Omar, 41, Immigration officers Norhaliza Hussein, 34, Emily Ngayan anak Beliang, 36, Benjamin Morsit, 34, Gracy Bohan, 35, and Agnes James Daim, 42 — were accused of accepting the cash from Fazal Illahi Juma Gul. MACC prosecuting officer Katherine Nais asked the court to release each of the six on RM10,000 cash with two sureties, but Roger Chin, defence counsel for Agnes and Emily, strongly objected to the cash bail. “There is no reason to impose the cash bail at all because there is no evidence to show that they will not attend the trial later,” he said, adding that both Agnes and Emily are still working with the Immigration Department. He said when MACC called them last Friday to go to the court to face the charges, they came voluntarily before 9am today. The court also fixed bail for Norhaliza at RM6,000, Benjamin at RM5,000, Khairul Nizam at RM5,000 and Gracy at RM7,000.",How long does someone be prisoned/sentenced?,no-answer
"Sarawakian immigration officers charged with graft KUCHING, April 10 — Six immigration officers were charged here today with receiving bribes of between RM100 and RM1,000 to allegedly allow undocumented foreign workers into the state. They pleaded not guilty before Sessions Court Judge Nixion Kennedy Kumbong, who then fixed April 28 for pre-trial management. The accused were said to have received the cash between late last year and early this year. The Malaysian Anti-Corruption Commission (MACC) charged them separately under Section 165 of the Penal Code which carries a maximum imprisonment of two years, or a fine, or both upon conviction. The six — assistant enforcement officer Khairul Nizam Omar, 41, Immigration officers Norhaliza Hussein, 34, Emily Ngayan anak Beliang, 36, Benjamin Morsit, 34, Gracy Bohan, 35, and Agnes James Daim, 42 — were accused of accepting the cash from Fazal Illahi Juma Gul. MACC prosecuting officer Katherine Nais asked the court to release each of the six on RM10,000 cash with two sureties, but Roger Chin, defence counsel for Agnes and Emily, strongly objected to the cash bail. “There is no reason to impose the cash bail at all because there is no evidence to show that they will not attend the trial later,” he said, adding that both Agnes and Emily are still working with the Immigration Department. He said when MACC called them last Friday to go to the court to face the charges, they came voluntarily before 9am today. The court also fixed bail for Norhaliza at RM6,000, Benjamin at RM5,000, Khairul Nizam at RM5,000 and Gracy at RM7,000.",How much is the punishment/seizures?,no-answer
"Sarawakian immigration officers charged with graft KUCHING, April 10 — Six immigration officers were charged here today with receiving bribes of between RM100 and RM1,000 to allegedly allow undocumented foreign workers into the state. They pleaded not guilty before Sessions Court Judge Nixion Kennedy Kumbong, who then fixed April 28 for pre-trial management. The accused were said to have received the cash between late last year and early this year. The Malaysian Anti-Corruption Commission (MACC) charged them separately under Section 165 of the Penal Code which carries a maximum imprisonment of two years, or a fine, or both upon conviction. The six — assistant enforcement officer Khairul Nizam Omar, 41, Immigration officers Norhaliza Hussein, 34, Emily Ngayan anak Beliang, 36, Benjamin Morsit, 34, Gracy Bohan, 35, and Agnes James Daim, 42 — were accused of accepting the cash from Fazal Illahi Juma Gul. MACC prosecuting officer Katherine Nais asked the court to release each of the six on RM10,000 cash with two sureties, but Roger Chin, defence counsel for Agnes and Emily, strongly objected to the cash bail. “There is no reason to impose the cash bail at all because there is no evidence to show that they will not attend the trial later,” he said, adding that both Agnes and Emily are still working with the Immigration Department. He said when MACC called them last Friday to go to the court to face the charges, they came voluntarily before 9am today. The court also fixed bail for Norhaliza at RM6,000, Benjamin at RM5,000, Khairul Nizam at RM5,000 and Gracy at RM7,000.",What occurred because of a corruption?,no-answer
"Sarawakian immigration officers charged with graft KUCHING, April 10 — Six immigration officers were charged here today with receiving bribes of between RM100 and RM1,000 to allegedly allow undocumented foreign workers into the state. They pleaded not guilty before Sessions Court Judge Nixion Kennedy Kumbong, who then fixed April 28 for pre-trial management. The accused were said to have received the cash between late last year and early this year. The Malaysian Anti-Corruption Commission (MACC) charged them separately under Section 165 of the Penal Code which carries a maximum imprisonment of two years, or a fine, or both upon conviction. The six — assistant enforcement officer Khairul Nizam Omar, 41, Immigration officers Norhaliza Hussein, 34, Emily Ngayan anak Beliang, 36, Benjamin Morsit, 34, Gracy Bohan, 35, and Agnes James Daim, 42 — were accused of accepting the cash from Fazal Illahi Juma Gul. MACC prosecuting officer Katherine Nais asked the court to release each of the six on RM10,000 cash with two sureties, but Roger Chin, defence counsel for Agnes and Emily, strongly objected to the cash bail. “There is no reason to impose the cash bail at all because there is no evidence to show that they will not attend the trial later,” he said, adding that both Agnes and Emily are still working with the Immigration Department. He said when MACC called them last Friday to go to the court to face the charges, they came voluntarily before 9am today. The court also fixed bail for Norhaliza at RM6,000, Benjamin at RM5,000, Khairul Nizam at RM5,000 and Gracy at RM7,000.",What was averted/haven't occurred because of a corruption?,no-answer
"Sarawakian immigration officers charged with graft KUCHING, April 10 — Six immigration officers were charged here today with receiving bribes of between RM100 and RM1,000 to allegedly allow undocumented foreign workers into the state. They pleaded not guilty before Sessions Court Judge Nixion Kennedy Kumbong, who then fixed April 28 for pre-trial management. The accused were said to have received the cash between late last year and early this year. The Malaysian Anti-Corruption Commission (MACC) charged them separately under Section 165 of the Penal Code which carries a maximum imprisonment of two years, or a fine, or both upon conviction. The six — assistant enforcement officer Khairul Nizam Omar, 41, Immigration officers Norhaliza Hussein, 34, Emily Ngayan anak Beliang, 36, Benjamin Morsit, 34, Gracy Bohan, 35, and Agnes James Daim, 42 — were accused of accepting the cash from Fazal Illahi Juma Gul. MACC prosecuting officer Katherine Nais asked the court to release each of the six on RM10,000 cash with two sureties, but Roger Chin, defence counsel for Agnes and Emily, strongly objected to the cash bail. “There is no reason to impose the cash bail at all because there is no evidence to show that they will not attend the trial later,” he said, adding that both Agnes and Emily are still working with the Immigration Department. He said when MACC called them last Friday to go to the court to face the charges, they came voluntarily before 9am today. The court also fixed bail for Norhaliza at RM6,000, Benjamin at RM5,000, Khairul Nizam at RM5,000 and Gracy at RM7,000.",What will potentially occur because of a corruption?,no-answer
"Sarawakian immigration officers charged with graft KUCHING, April 10 — Six immigration officers were charged here today with receiving bribes of between RM100 and RM1,000 to allegedly allow undocumented foreign workers into the state. They pleaded not guilty before Sessions Court Judge Nixion Kennedy Kumbong, who then fixed April 28 for pre-trial management. The accused were said to have received the cash between late last year and early this year. The Malaysian Anti-Corruption Commission (MACC) charged them separately under Section 165 of the Penal Code which carries a maximum imprisonment of two years, or a fine, or both upon conviction. The six — assistant enforcement officer Khairul Nizam Omar, 41, Immigration officers Norhaliza Hussein, 34, Emily Ngayan anak Beliang, 36, Benjamin Morsit, 34, Gracy Bohan, 35, and Agnes James Daim, 42 — were accused of accepting the cash from Fazal Illahi Juma Gul. MACC prosecuting officer Katherine Nais asked the court to release each of the six on RM10,000 cash with two sureties, but Roger Chin, defence counsel for Agnes and Emily, strongly objected to the cash bail. “There is no reason to impose the cash bail at all because there is no evidence to show that they will not attend the trial later,” he said, adding that both Agnes and Emily are still working with the Immigration Department. He said when MACC called them last Friday to go to the court to face the charges, they came voluntarily before 9am today. The court also fixed bail for Norhaliza at RM6,000, Benjamin at RM5,000, Khairul Nizam at RM5,000 and Gracy at RM7,000.",What is the crime that someone has been charged with?,graft|accepting the cash|bribes|received the cash
"Sarawakian immigration officers charged with graft KUCHING, April 10 — Six immigration officers were charged here today with receiving bribes of between RM100 and RM1,000 to allegedly allow undocumented foreign workers into the state. They pleaded not guilty before Sessions Court Judge Nixion Kennedy Kumbong, who then fixed April 28 for pre-trial management. The accused were said to have received the cash between late last year and early this year. The Malaysian Anti-Corruption Commission (MACC) charged them separately under Section 165 of the Penal Code which carries a maximum imprisonment of two years, or a fine, or both upon conviction. The six — assistant enforcement officer Khairul Nizam Omar, 41, Immigration officers Norhaliza Hussein, 34, Emily Ngayan anak Beliang, 36, Benjamin Morsit, 34, Gracy Bohan, 35, and Agnes James Daim, 42 — were accused of accepting the cash from Fazal Illahi Juma Gul. MACC prosecuting officer Katherine Nais asked the court to release each of the six on RM10,000 cash with two sureties, but Roger Chin, defence counsel for Agnes and Emily, strongly objected to the cash bail. “There is no reason to impose the cash bail at all because there is no evidence to show that they will not attend the trial later,” he said, adding that both Agnes and Emily are still working with the Immigration Department. He said when MACC called them last Friday to go to the court to face the charges, they came voluntarily before 9am today. The court also fixed bail for Norhaliza at RM6,000, Benjamin at RM5,000, Khairul Nizam at RM5,000 and Gracy at RM7,000.",What is the role/title/job of someone?,Immigration officers
"Sarawakian immigration officers charged with graft KUCHING, April 10 — Six immigration officers were charged here today with receiving bribes of between RM100 and RM1,000 to allegedly allow undocumented foreign workers into the state. They pleaded not guilty before Sessions Court Judge Nixion Kennedy Kumbong, who then fixed April 28 for pre-trial management. The accused were said to have received the cash between late last year and early this year. The Malaysian Anti-Corruption Commission (MACC) charged them separately under Section 165 of the Penal Code which carries a maximum imprisonment of two years, or a fine, or both upon conviction. The six — assistant enforcement officer Khairul Nizam Omar, 41, Immigration officers Norhaliza Hussein, 34, Emily Ngayan anak Beliang, 36, Benjamin Morsit, 34, Gracy Bohan, 35, and Agnes James Daim, 42 — were accused of accepting the cash from Fazal Illahi Juma Gul. MACC prosecuting officer Katherine Nais asked the court to release each of the six on RM10,000 cash with two sureties, but Roger Chin, defence counsel for Agnes and Emily, strongly objected to the cash bail. “There is no reason to impose the cash bail at all because there is no evidence to show that they will not attend the trial later,” he said, adding that both Agnes and Emily are still working with the Immigration Department. He said when MACC called them last Friday to go to the court to face the charges, they came voluntarily before 9am today. The court also fixed bail for Norhaliza at RM6,000, Benjamin at RM5,000, Khairul Nizam at RM5,000 and Gracy at RM7,000.",What is the investigation/trial/sentence that has taken place?,charges|pleaded|fixed|charged|bail|trial|charged|bail|fixed|face the charges|charged|trial|release|bail|accused
"Sarawakian immigration officers charged with graft KUCHING, April 10 — Six immigration officers were charged here today with receiving bribes of between RM100 and RM1,000 to allegedly allow undocumented foreign workers into the state. They pleaded not guilty before Sessions Court Judge Nixion Kennedy Kumbong, who then fixed April 28 for pre-trial management. The accused were said to have received the cash between late last year and early this year. The Malaysian Anti-Corruption Commission (MACC) charged them separately under Section 165 of the Penal Code which carries a maximum imprisonment of two years, or a fine, or both upon conviction. The six — assistant enforcement officer Khairul Nizam Omar, 41, Immigration officers Norhaliza Hussein, 34, Emily Ngayan anak Beliang, 36, Benjamin Morsit, 34, Gracy Bohan, 35, and Agnes James Daim, 42 — were accused of accepting the cash from Fazal Illahi Juma Gul. MACC prosecuting officer Katherine Nais asked the court to release each of the six on RM10,000 cash with two sureties, but Roger Chin, defence counsel for Agnes and Emily, strongly objected to the cash bail. “There is no reason to impose the cash bail at all because there is no evidence to show that they will not attend the trial later,” he said, adding that both Agnes and Emily are still working with the Immigration Department. He said when MACC called them last Friday to go to the court to face the charges, they came voluntarily before 9am today. The court also fixed bail for Norhaliza at RM6,000, Benjamin at RM5,000, Khairul Nizam at RM5,000 and Gracy at RM7,000.",Who is accused of a corruption?,Norhaliza|Immigration officers Norhaliza Hussein
"Sarawakian immigration officers charged with graft KUCHING, April 10 — Six immigration officers were charged here today with receiving bribes of between RM100 and RM1,000 to allegedly allow undocumented foreign workers into the state. They pleaded not guilty before Sessions Court Judge Nixion Kennedy Kumbong, who then fixed April 28 for pre-trial management. The accused were said to have received the cash between late last year and early this year. The Malaysian Anti-Corruption Commission (MACC) charged them separately under Section 165 of the Penal Code which carries a maximum imprisonment of two years, or a fine, or both upon conviction. The six — assistant enforcement officer Khairul Nizam Omar, 41, Immigration officers Norhaliza Hussein, 34, Emily Ngayan anak Beliang, 36, Benjamin Morsit, 34, Gracy Bohan, 35, and Agnes James Daim, 42 — were accused of accepting the cash from Fazal Illahi Juma Gul. MACC prosecuting officer Katherine Nais asked the court to release each of the six on RM10,000 cash with two sureties, but Roger Chin, defence counsel for Agnes and Emily, strongly objected to the cash bail. “There is no reason to impose the cash bail at all because there is no evidence to show that they will not attend the trial later,” he said, adding that both Agnes and Emily are still working with the Immigration Department. He said when MACC called them last Friday to go to the court to face the charges, they came voluntarily before 9am today. The court also fixed bail for Norhaliza at RM6,000, Benjamin at RM5,000, Khairul Nizam at RM5,000 and Gracy at RM7,000.",How many are accused of a corruption?,no-answer
"Sarawakian immigration officers charged with graft KUCHING, April 10 — Six immigration officers were charged here today with receiving bribes of between RM100 and RM1,000 to allegedly allow undocumented foreign workers into the state. They pleaded not guilty before Sessions Court Judge Nixion Kennedy Kumbong, who then fixed April 28 for pre-trial management. The accused were said to have received the cash between late last year and early this year. The Malaysian Anti-Corruption Commission (MACC) charged them separately under Section 165 of the Penal Code which carries a maximum imprisonment of two years, or a fine, or both upon conviction. The six — assistant enforcement officer Khairul Nizam Omar, 41, Immigration officers Norhaliza Hussein, 34, Emily Ngayan anak Beliang, 36, Benjamin Morsit, 34, Gracy Bohan, 35, and Agnes James Daim, 42 — were accused of accepting the cash from Fazal Illahi Juma Gul. MACC prosecuting officer Katherine Nais asked the court to release each of the six on RM10,000 cash with two sureties, but Roger Chin, defence counsel for Agnes and Emily, strongly objected to the cash bail. “There is no reason to impose the cash bail at all because there is no evidence to show that they will not attend the trial later,” he said, adding that both Agnes and Emily are still working with the Immigration Department. He said when MACC called them last Friday to go to the court to face the charges, they came voluntarily before 9am today. The judge then fixed RM6,000 court bail for Agnes and RM7,000 for Emily, both with one surety each.",Where a corruption has taken place?,no-answer
"Sarawakian immigration officers charged with graft KUCHING, April 10 — Six immigration officers were charged here today with receiving bribes of between RM100 and RM1,000 to allegedly allow undocumented foreign workers into the state. They pleaded not guilty before Sessions Court Judge Nixion Kennedy Kumbong, who then fixed April 28 for pre-trial management. The accused were said to have received the cash between late last year and early this year. The Malaysian Anti-Corruption Commission (MACC) charged them separately under Section 165 of the Penal Code which carries a maximum imprisonment of two years, or a fine, or both upon conviction. The six — assistant enforcement officer Khairul Nizam Omar, 41, Immigration officers Norhaliza Hussein, 34, Emily Ngayan anak Beliang, 36, Benjamin Morsit, 34, Gracy Bohan, 35, and Agnes James Daim, 42 — were accused of accepting the cash from Fazal Illahi Juma Gul. MACC prosecuting officer Katherine Nais asked the court to release each of the six on RM10,000 cash with two sureties, but Roger Chin, defence counsel for Agnes and Emily, strongly objected to the cash bail. “There is no reason to impose the cash bail at all because there is no evidence to show that they will not attend the trial later,” he said, adding that both Agnes and Emily are still working with the Immigration Department. He said when MACC called them last Friday to go to the court to face the charges, they came voluntarily before 9am today. The judge then fixed RM6,000 court bail for Agnes and RM7,000 for Emily, both with one surety each.",How long does someone be prisoned/sentenced?,no-answer
"Sarawakian immigration officers charged with graft KUCHING, April 10 — Six immigration officers were charged here today with receiving bribes of between RM100 and RM1,000 to allegedly allow undocumented foreign workers into the state. They pleaded not guilty before Sessions Court Judge Nixion Kennedy Kumbong, who then fixed April 28 for pre-trial management. The accused were said to have received the cash between late last year and early this year. The Malaysian Anti-Corruption Commission (MACC) charged them separately under Section 165 of the Penal Code which carries a maximum imprisonment of two years, or a fine, or both upon conviction. The six — assistant enforcement officer Khairul Nizam Omar, 41, Immigration officers Norhaliza Hussein, 34, Emily Ngayan anak Beliang, 36, Benjamin Morsit, 34, Gracy Bohan, 35, and Agnes James Daim, 42 — were accused of accepting the cash from Fazal Illahi Juma Gul. MACC prosecuting officer Katherine Nais asked the court to release each of the six on RM10,000 cash with two sureties, but Roger Chin, defence counsel for Agnes and Emily, strongly objected to the cash bail. “There is no reason to impose the cash bail at all because there is no evidence to show that they will not attend the trial later,” he said, adding that both Agnes and Emily are still working with the Immigration Department. He said when MACC called them last Friday to go to the court to face the charges, they came voluntarily before 9am today. The judge then fixed RM6,000 court bail for Agnes and RM7,000 for Emily, both with one surety each.",How much is the punishment/seizures?,no-answer
"Sarawakian immigration officers charged with graft KUCHING, April 10 — Six immigration officers were charged here today with receiving bribes of between RM100 and RM1,000 to allegedly allow undocumented foreign workers into the state. They pleaded not guilty before Sessions Court Judge Nixion Kennedy Kumbong, who then fixed April 28 for pre-trial management. The accused were said to have received the cash between late last year and early this year. The Malaysian Anti-Corruption Commission (MACC) charged them separately under Section 165 of the Penal Code which carries a maximum imprisonment of two years, or a fine, or both upon conviction. The six — assistant enforcement officer Khairul Nizam Omar, 41, Immigration officers Norhaliza Hussein, 34, Emily Ngayan anak Beliang, 36, Benjamin Morsit, 34, Gracy Bohan, 35, and Agnes James Daim, 42 — were accused of accepting the cash from Fazal Illahi Juma Gul. MACC prosecuting officer Katherine Nais asked the court to release each of the six on RM10,000 cash with two sureties, but Roger Chin, defence counsel for Agnes and Emily, strongly objected to the cash bail. “There is no reason to impose the cash bail at all because there is no evidence to show that they will not attend the trial later,” he said, adding that both Agnes and Emily are still working with the Immigration Department. He said when MACC called them last Friday to go to the court to face the charges, they came voluntarily before 9am today. The judge then fixed RM6,000 court bail for Agnes and RM7,000 for Emily, both with one surety each.",What occurred because of a corruption?,no-answer
"Sarawakian immigration officers charged with graft KUCHING, April 10 — Six immigration officers were charged here today with receiving bribes of between RM100 and RM1,000 to allegedly allow undocumented foreign workers into the state. They pleaded not guilty before Sessions Court Judge Nixion Kennedy Kumbong, who then fixed April 28 for pre-trial management. The accused were said to have received the cash between late last year and early this year. The Malaysian Anti-Corruption Commission (MACC) charged them separately under Section 165 of the Penal Code which carries a maximum imprisonment of two years, or a fine, or both upon conviction. The six — assistant enforcement officer Khairul Nizam Omar, 41, Immigration officers Norhaliza Hussein, 34, Emily Ngayan anak Beliang, 36, Benjamin Morsit, 34, Gracy Bohan, 35, and Agnes James Daim, 42 — were accused of accepting the cash from Fazal Illahi Juma Gul. MACC prosecuting officer Katherine Nais asked the court to release each of the six on RM10,000 cash with two sureties, but Roger Chin, defence counsel for Agnes and Emily, strongly objected to the cash bail. “There is no reason to impose the cash bail at all because there is no evidence to show that they will not attend the trial later,” he said, adding that both Agnes and Emily are still working with the Immigration Department. He said when MACC called them last Friday to go to the court to face the charges, they came voluntarily before 9am today. The judge then fixed RM6,000 court bail for Agnes and RM7,000 for Emily, both with one surety each.",What was averted/haven't occurred because of a corruption?,no-answer
"Sarawakian immigration officers charged with graft KUCHING, April 10 — Six immigration officers were charged here today with receiving bribes of between RM100 and RM1,000 to allegedly allow undocumented foreign workers into the state. They pleaded not guilty before Sessions Court Judge Nixion Kennedy Kumbong, who then fixed April 28 for pre-trial management. The accused were said to have received the cash between late last year and early this year. The Malaysian Anti-Corruption Commission (MACC) charged them separately under Section 165 of the Penal Code which carries a maximum imprisonment of two years, or a fine, or both upon conviction. The six — assistant enforcement officer Khairul Nizam Omar, 41, Immigration officers Norhaliza Hussein, 34, Emily Ngayan anak Beliang, 36, Benjamin Morsit, 34, Gracy Bohan, 35, and Agnes James Daim, 42 — were accused of accepting the cash from Fazal Illahi Juma Gul. MACC prosecuting officer Katherine Nais asked the court to release each of the six on RM10,000 cash with two sureties, but Roger Chin, defence counsel for Agnes and Emily, strongly objected to the cash bail. “There is no reason to impose the cash bail at all because there is no evidence to show that they will not attend the trial later,” he said, adding that both Agnes and Emily are still working with the Immigration Department. He said when MACC called them last Friday to go to the court to face the charges, they came voluntarily before 9am today. The judge then fixed RM6,000 court bail for Agnes and RM7,000 for Emily, both with one surety each.",What will potentially occur because of a corruption?,no-answer
"Sarawakian immigration officers charged with graft KUCHING, April 10 — Six immigration officers were charged here today with receiving bribes of between RM100 and RM1,000 to allegedly allow undocumented foreign workers into the state. They pleaded not guilty before Sessions Court Judge Nixion Kennedy Kumbong, who then fixed April 28 for pre-trial management. The accused were said to have received the cash between late last year and early this year. The Malaysian Anti-Corruption Commission (MACC) charged them separately under Section 165 of the Penal Code which carries a maximum imprisonment of two years, or a fine, or both upon conviction. The six — assistant enforcement officer Khairul Nizam Omar, 41, Immigration officers Norhaliza Hussein, 34, Emily Ngayan anak Beliang, 36, Benjamin Morsit, 34, Gracy Bohan, 35, and Agnes James Daim, 42 — were accused of accepting the cash from Fazal Illahi Juma Gul. MACC prosecuting officer Katherine Nais asked the court to release each of the six on RM10,000 cash with two sureties, but Roger Chin, defence counsel for Agnes and Emily, strongly objected to the cash bail. “There is no reason to impose the cash bail at all because there is no evidence to show that they will not attend the trial later,” he said, adding that both Agnes and Emily are still working with the Immigration Department. He said when MACC called them last Friday to go to the court to face the charges, they came voluntarily before 9am today. The judge then fixed RM6,000 court bail for Agnes and RM7,000 for Emily, both with one surety each.",What is the crime that someone has been charged with?,accepting the cash|bribes|received the cash
